Rank,City,State,Average Annual Salary,Median Home Price,Median Montly Rent,Avg High/Low Temps,Median Age,Unemployment Rate
62,Worchester,MA,"53,110","249,275",973,56.0/39.6,40.2,3.7
63,Orlando,FL,"44,410","233,050","1,107",82.8/62.8,36.9,3.2
64,Louisville,KY,"45,100","167,300",792,67.7/48.5,38.8,3.9
65,Spokane,WA,"47,320","221,800",833,57.6/38.6,38.3,5.5
66,Greensboro,NC,"43,310","142,758",777,69.2/49.0,38.8,4.1
67,Columbia,SC,"43,840","144,192",889,75.6/53.9,36.3,3.5
68,Oklahoma City,OK,"46,070","150,925",827,72.2/50.7,34.9,3.3
69,Dayton,OH,"48,700","126,325",770,61.0/42.8,39.4,4.3
70,Anchorage,AK,"58,980","259,900","1,237",9.3/43.9,33.5,6.1
71,Las Vegas,NV,"44,450","271,767","1,048",80.0/58.6,36.9,4.8
72,Augusta,GA,"44,020","147,427",809,76.8/50.9,37.2,4.1
73,Santa Barbara,CA,"54,320","463,750","1,496",73.0/54.0,33.7,3.9
74,Santa Rosa,CA,"53,890","629,917","1,456",71.0/44.2,41.4,2.7
75,Myrtle Beach,SC,"35,890","181,800",883,81.0/39.0,46.5,4.6
76,Tucson,AZ,"46,140","203,458",861,83.1/55.7,38.2,4.4
77,Salem,OR,"47,240","269,367",877,83.6/42.4,36.3,4.2
78,Port St. Lucie,FL,"42,500","211,083","1,074",81.7/63.3,47.1,4.1
79,Wichita,KS,"43,880","143,850",769,67.6/45.5,35.8,3.7
80,Springfield,MO,"40,560","146,416",721,43.0/22.5,36.6,2.8
81,St. Louis,MO,"49,180","157,725",858,66.1/47.8,39.0,3.4
82,Sacramento,CA,"55,010","389,858","1,157",73.8/47.6,37.0,3.7
83,Tulsa,OK,"45,260","149,000",804,71.3/50.1,36.8,3.6
84,Reading ,PA,"46,100","151,900",885,76.0/38.0,39.9,4.2
85,Cleveland,OH,"45,589","132,516",782,59.2/45.9,41.0,4.9
86,Springfield,MA,"50,930","199,650",903,59.2/37.3,38.2,4.2
87,York,PA,"44,740","164,258",915,,41.0,3.8
88,Little Rock,AR,"43,780","147,150",805,72.8/52.4,36.5,3.3
89,Birmingham,AL,"47,300","171,450",831,73.8/52.6,38.4,3.6
90,New York City,NY,"63,079","368,862","1,345",62.0/47.9,38.3,4.0
91,Providence,RI,"52,220","228,804",925,60.6/42.5,40.2,4.1
92,Detroit,MI,"52,100","156,508",890,57.8/42.7,40.0,4.3
93,Allentown ,PA,"46,920","174,858",990,61.4/40.8,41.3,4.5
94,Toledo,OH,"44,180","117,850",710,59.9/40.6,37.3,4.9
95,New Haven,CT,"55,450","204,475","1,100",60.6/43.7,40.1,4.1
96,Lafayette,LA,"39,940","165,500",769,,35.4,4.9
97,Youngstown,OH,"41,360","86,850",652,58.3/39.7,43.9,5.8
98,Scranton,PA,"41,980","100,600",745,58.7/40.0,42.8,5.0
99,Daytona Beach,FL,"38,710","192,817",990,80.1/61.6,47.1,3.7
100,Baltimore,MD,"56,400","248,833","1,220",65.0/45.1,38.3,4.2
101,Killeen,TX,"41,770","155,500",888,,31.1,4.0
102,Philadelphia,PA,"54,940","200,142","1,075",64.6/47.1,38.6,4.2
103,Virginia Beach,VA,"47,410","220,275","1,124",68.2/52.0,35.7,3.3
104,Chicago,IL,"54,160","221,983","1,048",59.0/40.7,37.0,4.2
105,Corpus Christi,TX,"44,710",,940,,35.7,5.0
106,Albuquerque,NM,"46,400","201,900",850,68.7/45.4,37.7,4.6
107,Los Angeles,CA,"53,803","526,214","1,362",69.0/56.2,35.9,4.2
108,Beaumont,TX,"47,900",,797,,36.9,6.2
109,Baton Rouge,LA,"44,500","179,350",873,78.9/57.9,34.9,4.3
110,El Paso,TX,"38,610","151,300",789,77.4/51.6,31.9,4.3
111,Jackson,MS,"42,770",,838,75.5/53.6,36.0,4.1
112,McAllen ,TX,"36,380",,699,85.9/65.2,28.9,6.6
113,Miami,FL,"46,860",247113,"1,232",84.3/70.0,40.7,3.7
114,New Orleans,LA,"43,310",193575,947,78.2/61.1,37.7,4.5
115,Flint,MI,"45,820",121900,738,,40.1,5.1
116,Brownsville,TX,"35,240",,683,,31.4,6.2
117,Salinas,CA,"48,290",581342,"1,338",,33.9,6.4
118,Memphis,TN,"43,950",151900,883,72.4/53.6,35.9,4.1
119,Fresno,CA,"45,510",260733,931,76.7/51.9,31.8,7.4
120,Modesto,CA,"46,176",289168,"1,011",76.0/51.3,32.9,7.0
121,Mobile,AL,"43,830",126976,828,,37.3,4.7
122,Shreveport,LA,"39,400",,789,,36.7,5.2
123,Stockton,CA,"46,770",352350,"1,100",74.3/48.3,33.9,5.9
124,Bakersfield,CA,"47,680",226908,933,76.8/53.5,31.3,8.0
125,San Juan,PR,"29,820",,502,86.6/75.4,39.9,7.7
